ESTATUS,MES,EQUIPO,ZONA,PROMOTOR,"ID CLIENTE",CLIENTE,"N° BACKLOG",BIEN,"LINEA DISPONIBLE","MONTO ORIGINAL","RI ORIGINAL",DIFERENCIA,BACKLOG,"RENTA INICIAL","BACKLOG ACTUAL","COLOCACIÓN REAL","RI REAL","MONTO CANCELADO","RI CANCELADA","TIPO DE OPERACIÓN","ETAPA INICIO MES",ETAPA,SOLICITUD,PROSPECTO,CREDITO,RECHAZADA,"SIN SOLICITUD","CON SOLICITUD","RI PROSPECTO","RI CREDITO","RI RECHAZADA","RI SIN SOLICITUD","RI CON SOLICITUD",TASA,COMISION,"DIF RESIDUALES","COLOCACION PIPELINE"
Comprometida,ENE-18,CHI,NORTE,"Monica de la Luz Vazquez Vidal",73177,"ENERGETICA CARVEL, S.A. DE C.V.",13338,"MAQUINARIA ",13500000.000000,5000000.000000,1000000.000000,0,5000000.000000,1000000.000000,5000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,5000000.000000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,21.00,2.50,5.00,0.00,,
Comprometida,ENE-18,CHI,NORTE,"Monica de la Luz Vazquez Vidal",75898,"PROCESADORA Y COMERCIALIZADORA DE MATERIALES INDUSTRIALES SA DE CV",14102,"MAQUINARIA ",2400000.000000,2500000.000000,500000.000000,-100000,2400000.000000,480000.000000,2400000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,2400000.000000,0.000000,0.000000,0.000000,0.000000,480000.000000,0.000000,22.00,3.00,5.00,0.00,,,
Comprometida,ENE-18,CHI,NORTE,"Monica de la Luz Vazquez Vidal",70120,"G-GLOBAL, S. DE R.L. DE C.V.",14077,"AUTOS ",629584.400000,589989.000000,58998.900000,0,589989.000000,58998.900000,589989.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,589989.000000,0.000000,0.000000,0.000000,0.000000,58998.900000,0.000000,22.00,0.00,10.00,0.00,,,
Comprometida,ENE-18,CHI,NORTE,"Monica de la Luz Vazquez Vidal",60568,"SEGURIDAD PRIVADA GINTHER DE OCCIDENTE, S. DE R.L. DE C.V.",14235,"EQUIPO ",1493922.840000,301882.400000,60376.480000,0,301882.400000,60376.480000,301882.400000,0.000000,0.000000,0.000000,0.000000,Adicional,Autorizada,Autorizada,NO,0.000000,0.000000,0.000000,301882.400000,0.000000,0.000000,0.000000,0.000000,60376.480000,0.000000,22.00,3.00,10.00,,,,
Comprometida,ENE-18,CHI,NORTE,"Monica de la Luz Vazquez Vidal",75015,"MARTIN FROILAN CHAVEZ GARCIA",13647,"AUTOS EQUIPO DE TRANSPORTE EQUIPO ",880000.000000,265900.000000,26590.000000,0,265900.000000,26590.000000,265900.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,265900.000000,0.000000,0.000000,0.000000,0.000000,26590.000000,0.000000,23.50,3.00,10.00,0.00,,,
Comprometida,ENE-18,CHI,NORTE,"Monica de la Luz Vazquez Vidal",68573,"PRODUCTOS LACTEOS SANBUENA, S.A. DE C.V.",14081,"MAQUINARIA ",40685648.900000,1.000000,0.000000,0,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Autorizada,Autorizada,NO,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.00,2.00,10.00,0.00,,,
Comprometida,ENE-18,CHI,NORTE,"Alma Socorro Medrano Armendariz",74830,"TEAR DROP RACK SA DE CV",13427," ",0.000000,10000000.000000,2000000.000000,0,10000000.000000,2000000.000000,10000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Rechazada,NO,0.000000,0.000000,10000000.000000,0.000000,0.000000,0.000000,0.000000,2000000.000000,0.000000,0.000000,22.00,3.00,5.00,0.00,,,
Comprometida,ENE-18,CHI,NORTE,"Alma Socorro Medrano Armendariz",74826,"ROCK- BOLT DE MEXICO SA DE CV",13474,"MAQUINARIA ",0.000000,10000000.000000,2000000.000000,5000000,15000000.000000,3000000.000000,15000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Rechazada,NO,0.000000,0.000000,15000000.000000,0.000000,0.000000,0.000000,0.000000,3000000.000000,0.000000,0.000000,20.00,3.00,5.00,0.00,,
Comprometida,ENE-18,CHI,NORTE,"Alma Socorro Medrano Armendariz",73937,"GRUPO SAN FRANCISCO PRODESEM, S.P.R. DE R.L. DE C.V.",13071,"CAMIONES ",6000000.000000,5000000.000000,500000.000000,0,5000000.000000,500000.000000,5000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,5000000.000000,0.000000,0.000000,0.000000,0.000000,500000.000000,0.000000,0.00,0.00,0.00,0.00,,,
Comprometida,ENE-18,CHI,NORTE,"Alma Socorro Medrano Armendariz",74962,"CENTRO DE ACOPIO Y PROCESAMIENTO DE RESIDUOS ALIMENTICIOS S DE RL DE CV",13675,"MAQUINARIA ",700000.000000,500000.000000,100000.000000,0,500000.000000,100000.000000,500000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,500000.000000,0.000000,0.000000,0.000000,0.000000,100000.000000,0.000000,0.00,0.00,0.00,0.00,,,
Comprometida,ENE-18,CHI,NORTE,"Alma Socorro Medrano Armendariz",46071,"AGNICO EAGLE MEXICO, S.A. DE C.V.",14068,"EQUIPO DE TRANSPORTE ",10064713.130000,420900.000000,42090.000000,505400,926300.000000,92630.000000,926300.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Autorizada,Autorizada,NO,0.000000,0.000000,0.000000,926300.000000,0.000000,0.000000,0.000000,0.000000,92630.000000,0.000000,18.00,3.00,10.00,0.00,,,
