ESTATUS,MES,EQUIPO,ZONA,PROMOTOR,"ID CLIENTE",CLIENTE,"N° BACKLOG",BIEN,"LINEA DISPONIBLE","MONTO ORIGINAL","RI ORIGINAL",DIFERENCIA,BACKLOG,"RENTA INICIAL","BACKLOG ACTUAL","COLOCACIÓN REAL","RI REAL","MONTO CANCELADO","RI CANCELADA","TIPO DE OPERACIÓN","ETAPA INICIO MES",ETAPA,SOLICITUD,PROSPECTO,CREDITO,RECHAZADA,"SIN SOLICITUD","CON SOLICITUD","RI PROSPECTO","RI CREDITO","RI RECHAZADA","RI SIN SOLICITUD","RI CON SOLICITUD",TASA,COMISION,"DIF RESIDUALES","COLOCACION PIPELINE"
Comprometida,ENE-18,2,METROPOLITANA,"Alan Duran Monroy",74844,"OFIEQUIPOS PC, S.A. DE C.V.",13626,"EQUIPO DE COMPUTO ",8350000.000000,10501291.580000,2532942.060000,0,10501291.580000,2532942.060000,10501291.580000,10501291.580000,2532942.060000,0.000000,0.000000,Adicional,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,10501291.580000,0.000000,0.000000,0.000000,0.000000,2532942.060000,0.00,0.00,0.00,10501291.58,,
Comprometida,ENE-18,2,METROPOLITANA,"Alan Duran Monroy",57957,"ROGER SISTEMAS EXTERIORES, S. DE R.L. DE C.V.",14162,"EQUIPO ",2776690.040000,2700000.000000,675000.000000,653456.73,3353456.730000,754000.000000,3353456.730000,3353456.730000,754000.000000,0.000000,0.000000,Adicional,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,3353456.730000,0.000000,0.000000,0.000000,0.000000,754000.000000,22.00,2.00,10.00,3353456.73,,,
Comprometida,ENE-18,2,METROPOLITANA,"Berenice Soreque Tellez",9131,"POTOSINOS EXPRESS PACK, S.A. DE C.V.",14501,"EQUIPO DE TRANSPORTE ",34412383.750000,3502468.000000,0.000000,0,3502468.000000,0.000000,3502468.000000,3502464.990000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,SI,0.000000,0.000000,0.000000,3.010000,3502464.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,3502464.99,,,
Comprometida,ENE-18,2,METROPOLITANA,"Berenice Soreque Tellez",50563,"CONSTRUOBRAS DE LA GARZA, S.A. DE C.V.",14031,"MAQUINARIA ",258465941.560000,1.000000,0.000000,0,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Original,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.00,2.00,10.00,0.00,,,
Comprometida,ENE-18,2,METROPOLITANA,"Ceydi Ariette Ibarra Trillo",15226,"CALZADA CONSTRUCCIONES, S.A. DE C.V.",14393,"BARCOS ",90689487.120000,90000000.000000,0.000000,0,90000000.000000,0.000000,90000000.000000,90000000.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,90000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,90000000.00,,,
Comprometida,ENE-18,2,METROPOLITANA,"Ceydi Ariette Ibarra Trillo",10310,"VIAL ASSIST, S.A. DE C.V.",14407,"EQUIPO ",7650000.000000,9000000.000000,1350000.000000,0,9000000.000000,1350000.000000,9000000.000000,9000000.000000,1350000.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,9000000.000000,0.000000,0.000000,0.000000,0.000000,1350000.000000,0.00,0.00,0.00,9000000.00,,,
Comprometida,ENE-18,2,METROPOLITANA,"Ceydi Ariette Ibarra Trillo",72939,"ENESTAS, S.A. DE C.V.",14076,"EQUIPO ",16778076.040000,8000000.000000,1600000.000000,-7999999,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,SI,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.00,3.00,10.00,0.00,,,
Comprometida,ENE-18,2,METROPOLITANA,"Ceydi Ariette Ibarra Trillo",14031,"SOLUCIONES Y PROGRAMAS INTEGRALES SPI, S.A. DE C.V.",14469,"EQUIPO DE COMPUTO ",13650875.220000,1287345.000000,0.000000,0,1287345.000000,0.000000,1287345.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,1287345.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,,,,
Comprometida,ENE-18,2,METROPOLITANA,"Ceydi Ariette Ibarra Trillo",70133,"VAM LOGISTICA Y CADENA DE SUMINSTRO, S.A. DE C.V.",13588,"AUTOS ",191949.770000,206990.010000,20699.010000,-206989.01,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,,
Comprometida,ENE-18,2,METROPOLITANA,"Ceydi Ariette Ibarra Trillo",5465,"COMERCIALIZADORA MACSA, S.A. DE C.V.",14447,"AUTOS ",685000.000000,121339.000000,0.000000,0,121339.000000,0.000000,121339.000000,121338.750000,0.000000,0.000000,0.000000,Adicional,Prospecto,Autorizada,SI,0.000000,0.000000,0.000000,0.250000,121338.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,121338.75,,,
Comprometida,ENE-18,2,METROPOLITANA,"Ceydi Ariette Ibarra Trillo",38955,"MILENIUM AIR SERVICIOS AEREOS INTEGRADOS, S.A. DE C.V.",13818,"EQUIPO ",60530943.130000,0.000000,0.000000,0,0.000000,0.000000,4716077.500000,4716077.500000,943215.510000,0.000000,0.000000,Adicional,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,4716077.500000,0.000000,0.000000,0.000000,0.000000,943215.510000,0.00,0.00,0.00,4716077.50,,
